id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
ENTRE RIOS_COLON,"Colon, Entre Rios",LA LIBERTAD AVANZA,1.8,7.07,29.4,31.75,29.98,775,3046,12670,13681,12917,75.72,60162,45556,4.24,0.21,0.96,1933,96,ENTRE RIOS
ENTRE RIOS_CONCORDIA,"Concordia, Entre Rios",UNION POR LA PATRIA,1.66,4.68,26.24,29.07,38.34,1800,5065,28380,31451,41478,76.07,149398,113650,3.63,0.11,1.08,4123,127,ENTRE RIOS
ENTRE RIOS_DIAMANTE,"Diamante, Entre Rios",LA LIBERTAD AVANZA,1.05,6.37,32.41,33.69,26.47,321,1944,9894,10284,8081,74.26,43511,32312,4.42,0.13,0.99,1428,41,ENTRE RIOS
ENTRE RIOS_FEDERACION,"Federacion, Entre Rios",JUNTOS POR EL CAMBIO,1.23,3.39,34.63,32.23,28.53,609,1683,17198,16004,14166,82.35,64022,52723,4.66,0.15,1.01,2455,78,ENTRE RIOS
ENTRE RIOS_FEDERAL,"Federal, Entre Rios",UNION POR LA PATRIA,0.68,3.01,28.66,24.78,42.87,123,546,5199,4494,7777,78.9,24431,19277,4.95,0.24,0.71,955,47,ENTRE RIOS
ENTRE RIOS_FELICIANO,"Feliciano, Entre Rios",UNION POR LA PATRIA,0.75,2.88,27.92,21.73,46.71,76,294,2846,2215,4761,78.19,13834,10817,4.67,0.28,0.83,505,30,ENTRE RIOS
ENTRE RIOS_GUALEGUAY,"Gualeguay, Entre Rios",LA LIBERTAD AVANZA,1.62,5.83,31.22,33.24,28.08,555,1993,10665,11355,9594,76.18,48494,36944,6.53,0.12,0.87,2413,46,ENTRE RIOS
ENTRE RIOS_GUALEGUAYCHU,"Gualeguaychu, Entre Rios",JUNTOS POR EL CAMBIO,1.73,4.89,32.52,31.16,29.7,1342,3787,25177,24122,22989,78.51,103113,80958,3.26,0.13,0.98,2639,107,ENTRE RIOS
ENTRE RIOS_ISLAS DEL IBICUY,"Islas Del Ibicuy, Entre Rios",UNION POR LA PATRIA,0.46,2.17,32.51,24.63,40.23,39,183,2736,2073,3386,71.99,12451,8963,4.72,0.08,1.29,423,7,ENTRE RIOS
ENTRE RIOS_LA PAZ,"La Paz, Entre Rios",UNION POR LA PATRIA,1.0,3.97,27.99,23.11,43.94,441,1756,12375,10217,19430,76.8,61153,46964,4.7,0.14,1.0,2209,65,ENTRE RIOS
ENTRE RIOS_NOGOYA,"Nogoya, Entre Rios",UNION POR LA PATRIA,1.38,5.61,30.01,31.28,31.72,330,1343,7179,7483,7590,75.41,34847,26277,8.14,0.2,0.61,2139,52,ENTRE RIOS
ENTRE RIOS_PARANA,"Parana, Entre Rios",UNION POR LA PATRIA,1.67,6.09,31.03,29.45,31.76,3890,14186,72251,68589,73946,76.68,318471,244194,3.53,0.11,1.0,8613,272,ENTRE RIOS
ENTRE RIOS_SAN SALVADOR,"San Salvador, Entre Rios",UNION POR LA PATRIA,0.86,5.09,30.39,31.09,32.57,107,630,3762,3849,4032,79.38,17208,13659,8.33,0.21,0.82,1138,29,ENTRE RIOS
ENTRE RIOS_TALA,"Tala, Entre Rios",UNION POR LA PATRIA,1.26,4.92,31.81,28.56,33.46,224,873,5647,5070,5941,76.83,24724,18995,5.59,0.12,0.82,1062,22,ENTRE RIOS
ENTRE RIOS_URUGUAY,"Uruguay, Entre Rios",UNION POR LA PATRIA,2.17,6.3,29.29,29.72,32.52,1479,4299,19975,20271,22179,76.81,92885,71349,3.17,0.24,1.0,2262,172,ENTRE RIOS
ENTRE RIOS_VICTORIA,"Victoria, Entre Rios",LA LIBERTAD AVANZA,1.17,7.24,26.08,33.46,32.07,268,1662,5989,7684,7365,75.8,33117,25104,7.27,0.47,0.77,1825,117,ENTRE RIOS
ENTRE RIOS_VILLAGUAY,"Villaguay, Entre Rios",UNION POR LA PATRIA,1.25,4.7,28.19,28.94,36.91,381,1430,8569,8798,11218,73.16,43619,31911,3.85,0.18,0.72,1230,56,ENTRE RIOS
